,premise,hypothesis,label,premise_fr,hypothesis_fr
33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,2,L'école organise un événement spécial pour montrer à la culture américaine comment d'autres cultures sont traitées dans les parties.,Une école accueille un match de basket-ball.
34,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,1,L'école organise un événement spécial pour montrer à la culture américaine comment d'autres cultures sont traitées dans les parties.,Une école secondaire accueille un événement.
35,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,0,L'école organise un événement spécial pour montrer à la culture américaine comment d'autres cultures sont traitées dans les parties.,Une école accueille un événement.
36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,2,Les femmes de haute mode attendent à l'extérieur d'un tramway à côté d'une foule de gens dans la ville.,Les femmes ne se souviennent pas des vêtements qu'elles portent.
37,High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,0,Les femmes de haute mode attendent à l'extérieur d'un tramway à côté d'une foule de gens dans la ville.,Les femmes attendent par tramway.
38,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,1,Les femmes de haute mode attendent à l'extérieur d'un tramway à côté d'une foule de gens dans la ville.,Les femmes aiment avoir un bon sens de la mode.
39,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",1,"Un homme, une femme et un enfant jouissant d'une plage.","Un enfant avec la mère et le père, en vacances d'été à la plage."
40,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,0,"Un homme, une femme et un enfant jouissant d'une plage.",Une famille de trois personnes est à la plage.
41,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,2,"Un homme, une femme et un enfant jouissant d'une plage.",Une famille de trois personnes se trouve au centre commercial.
42,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,1,Les personnes qui attendent d'arriver en train ou d'arriver à partir de l'anglais.,Les personnes qui attendent le train sont assises.
43,People waiting to get on a train or just getting off.,There are people just getting on a train,0,Les personnes qui attendent d'arriver en train ou d'arriver à partir de l'anglais.,Il y a des gens qui se rendent juste en train
44,People waiting to get on a train or just getting off.,There are people waiting on a train.,0,Les personnes qui attendent d'arriver en train ou d'arriver à partir de l'anglais.,Il y a des gens qui attendent sur un train.
45,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,0,Un couple jouant avec un petit garçon sur la plage.,Un couple joue avec un jeune enfant à l'extérieur.
46,A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,1,Un couple jouant avec un petit garçon sur la plage.,Un couple joue frisbee avec un jeune enfant sur la plage.
47,A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,2,Un couple jouant avec un petit garçon sur la plage.,Un couple regarde une petite fille jouant d'elle-même sur la plage.
48,A couple play in the tide with their young son.,The family is sitting down for dinner.,2,Un couple joue dans la marée avec son jeune fils.,La famille se réunit pour le dîner.
49,A couple play in the tide with their young son.,The family is outside.,0,Un couple joue dans la marée avec son jeune fils.,La famille est à l'extérieur.
50,A couple play in the tide with their young son.,The family is on vacation.,1,Un couple joue dans la marée avec son jeune fils.,La famille est en vacances.
51,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,2,Un homme et une femme traversent la rue devant une pizza et un restaurant gyro.,Les gens s'arrêtent à l'arrêt.
52,A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.",0,Un homme et une femme traversent la rue devant une pizza et un restaurant gyro.,"proximité d'un couple de restaurants, deux personnes marchent en face de la rue."
53,A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,1,Un homme et une femme traversent la rue devant une pizza et un restaurant gyro.,Le couple se promène à travers la rue ensemble.
54,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,2,Une femme en veste vert et en capot au-dessus de sa tête et regardant vers une vallée.,La femme est nake.
55,A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,1,Une femme en veste vert et en capot au-dessus de sa tête et regardant vers une vallée.,La femme est froide.
56,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,0,Une femme en veste vert et en capot au-dessus de sa tête et regardant vers une vallée.,La femme porte le vert.
57,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,1,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,L'homme ayant le signe est caucasien.
58,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,2,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Ils protestent en dehors de la capitale.
59,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,0,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Une femme en blanc.
60,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,0,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Un homme fait la publicité pour un restaurant.
61,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,2,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,La femme porte du noir.
62,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,1,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Un homme et une femme marchent sur une rue de la ville surpeuplée.
63,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,0,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,La femme est blanche.
64,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,1,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Ils travaillent pour John's Pizza.
65,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,2,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,La natation olympique.
66,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,2,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Un homme et un soman mangent ensemble à John's Pizza et Gyro.
67,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,0,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Ils marchent avec un signe.
68,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,1,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,La femme attend un ami.
69,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,2,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,L'homme est assis pendant qu'il a un signe pour John's Pizza et Gyro dans ses bras.
70,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,0,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,La femme et l'homme sont à l'extérieur.
71,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,1,Femme blanche en avant et un homme légèrement derrière marche avec un panneau pour John's Pizza et Gyro en fond.,Une femme qui commande la pizza.
72,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,1,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Les personnes sont liées.
73,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,2,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes traversent la rue pour s'éloigner d'une personne chiffrée rouge qui les chasse.
74,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,0,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Les adultes sont à la fois masculins et féminins.
75,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,1,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux personnes marchent à la maison après un savoureux dîner de steak.
76,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,2,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes naissant dans l'eau
77,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,0,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes traversent une rue.
78,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,2,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux personnes transportent des bicyclettes dans un tunnel.
79,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,0,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux personnes s'éloignent d'un restaurant en face d'une rue.
80,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,1,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes qui traversent une route à proximité du condamné en rouge
81,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,1,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux amis traversent une rue.
82,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,2,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Certaines personnes embarquent à bord d'un train.
83,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,0,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes traversent la rue.
84,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,0,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes qui traversent une route
85,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,2,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Il n'y a pas de femmes dans l'image.
86,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,1,"Deux adultes, une femelle en blanc, avec des nuances et un mâle, des vêtements gris, marchant sur une rue, loin d'un restaurant avec une image floue d'une personne",Deux adultes traversent la rue pour s'éloigner d'une personne chiffrée rouge qui les chasse.
87,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,2,"Une femme portant tout blanc et mangeant, marche à côté d'un homme qui tient une boîte.",Un couple marié dorme.
88,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,0,"Une femme portant tout blanc et mangeant, marche à côté d'un homme qui tient une boîte.",Une femme est à côté d'un homme.
89,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.,1,"Une femme portant tout blanc et mangeant, marche à côté d'un homme qui tient une boîte.",Un couple marié marche à côté de l'autre.
90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,2,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",Personne n'a de nourriture.
91,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",0,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.","Une femme mange une banane et marche à travers une rue, et il y a un homme derrière elle."
92,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,2,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",La femme et l'homme jouent ensemble le baseball.
93,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,1,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",Deux collègues franchissent des chemins sur une rue
94,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",2,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.","Une femme mange de la crème glacée en marche sur le trottoir, et une autre femme en face de sa porte a un sac."
95,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,1,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",L'encadré d'homme est pour le travail.
96,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,0,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",Une personne à manger.
97,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,1,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",Une personne qui souffre de faim.
98,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.,1,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",Une actrice et son assistant préféré discutent d'une promenade dans la ville.
99,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,0,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",une femme qui consomme une banane traverse une rue
100,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress,1,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",La femme est une séducatrice
101,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman sits for lunch,2,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",Une femme est assise pour le déjeuner
102,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is having coffee at the cafe,2,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",La femme a café au café
103,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman is eating a banana.,0,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",La femme mange une banane.
104,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is outside,0,"Une femme marche sur la rue mange une banane, tandis qu'un homme suit avec sa boîte.",La femme est à l'extérieur
105,A skier slides along a metal rail.,A skier is near the rail looking down.,1,Un skieur glisse le long d'un rail en métal.,Un skieur se trouve à proximité du chemin de fer en regardant vers le bas.
106,A skier slides along a metal rail.,A skier is near the rail.,0,Un skieur glisse le long d'un rail en métal.,Un skieur se trouve à proximité du rail.
107,A skier slides along a metal rail.,A skier is away from the rail.,2,Un skieur glisse le long d'un rail en métal.,Un skieur est loin du chemin de fer.
108,A person on skis on a rail at night.,The woman eats a car,2,Une personne en ski sur un chemin de fer la nuit.,La femme mange une voiture
109,A person on skis on a rail at night.,The person skiis,0,Une personne en ski sur un chemin de fer la nuit.,La personne skiis
110,A person on skis on a rail at night.,They are fantastic skiiers,1,Une personne en ski sur un chemin de fer la nuit.,Ils sont fantastiques skieurs
111,A skier in electric green on the edge of a ramp made of metal bars.,The skier was on the edge of the ramp.,1,Un skieur en vert électrique sur le bord d'une rampe de barres métalliques.,Le skieur se trouvait au bord de la rampe.
112,A skier in electric green on the edge of a ramp made of metal bars.,The brightly dressed skier slid down the race course.,0,Un skieur en vert électrique sur le bord d'une rampe de barres métalliques.,Le skieur brillant s'est enfoncé sur le terrain de course.
113,A skier in electric green on the edge of a ramp made of metal bars.,The jogger ran through the streets.,2,Un skieur en vert électrique sur le bord d'une rampe de barres métalliques.,Le jogger a traversé les rues.
114,A yellow uniformed skier is performing a trick across a railed object.,A snowboarder is riding a ski lift.,2,Un skieur jaune en uniforme exécute un truc à travers un objet bordé.,Un snowboarder est en train de recourir à un ascenseur.
115,A yellow uniformed skier is performing a trick across a railed object.,A skier is competing in a competition.,1,Un skieur jaune en uniforme exécute un truc à travers un objet bordé.,Un skieur est en compétition.
116,A yellow uniformed skier is performing a trick across a railed object.,Somebody is engaging in winter sports.,0,Un skieur jaune en uniforme exécute un truc à travers un objet bordé.,Certains s'engagent dans des sports d'hiver.
117,A blond man is drinking from a public fountain.,The man is drinking water.,0,Un homme blond boire d'une fontaine publique.,L'homme est l'eau potable.
118,A blond man is drinking from a public fountain.,The man is very thirsty.,1,Un homme blond boire d'une fontaine publique.,L'homme est très soif.
119,A blond man is drinking from a public fountain.,The man is drinking coffee.,2,Un homme blond boire d'une fontaine publique.,L'homme boire du café.
120,Wet brown dog swims towards camera.,The dog is sleeping in his bed.,2,Les chiens bruns humides naissent vers la caméra.,Le chien dorme dans son lit.
121,Wet brown dog swims towards camera.,A dog is playing fetch in a pond.,1,Les chiens bruns humides naissent vers la caméra.,Un chien joue à la fetche dans un étang.
122,Wet brown dog swims towards camera.,A dog is in the water.,0,Les chiens bruns humides naissent vers la caméra.,Un chien est dans l'eau.
123,Closeup image of a dog swimming.,A cat reluctantly takes a bath.,2,Image closeup d'un chien naissant.,Un chat hésite à prendre un bain.
124,Closeup image of a dog swimming.,An underwater camera takes a photo of a puppy.,1,Image closeup d'un chien naissant.,Une caméra sous-marine prend une photo d'un chiot.
125,Closeup image of a dog swimming.,A dog swims in a body of water.,0,Image closeup d'un chien naissant.,Un chien naît dans un corps d'eau.
126,The furry brown dog is swimming in the ocean.,A dog is chasing a fish.,1,Le chien brun à fourrure naît dans l'océan.,Un chien chasse un poisson.
127,The furry brown dog is swimming in the ocean.,A dog is swimming.,0,Le chien brun à fourrure naît dans l'océan.,Un chien naît.
128,The furry brown dog is swimming in the ocean.,A dog is running around the yard.,2,Le chien brun à fourrure naît dans l'océan.,Un chien circule autour de la cour.
129,A big brown dog swims towards the camera.,A dog is chasing a stick.,2,Un gros chien brun nage vers la caméra.,Un chien chasse un bâton.
130,A big brown dog swims towards the camera.,A photographer is taking pictures of a dog.,1,Un gros chien brun nage vers la caméra.,Un photographe prend des photos d'un chien.
131,A big brown dog swims towards the camera.,A dog swims towards the camera.,0,Un gros chien brun nage vers la caméra.,Un chien nage vers la caméra.
132,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The farmer wearing a gray hat is driving a horse-drawn cart.,1,Un homme portant un chapeau gris et portant une fourrure à cheval dirige un chariot tiré de cheval.,L'agriculteur portant un chapeau gris conduit un chariot tiré de cheval.
133,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The man with the gray hat and pitchfork is directing the cart.,0,Un homme portant un chapeau gris et portant une fourrure à cheval dirige un chariot tiré de cheval.,L'homme qui a le chapeau gris et la fourrure de pitch dirige le chariot.
134,"A man wearing black with a gray hat, holding a pitchfork, directs a horse-drawn cart.",The woman in a blue dress is hitching a horse to a cart.,2,Un homme portant un chapeau gris et portant une fourrure à cheval dirige un chariot tiré de cheval.,La femme en robe bleue est en train de frapper un cheval dans un chariot.
135,"A man is leading a Clydesdale up a hay road, within a Old Country.",A man is walking with his horse up a country road.,0,"Un homme conduit une Clydesdale sur une route de foin, dans un ancien pays.",Un homme marche avec son cheval sur une route de campagne.
